strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10303,12,12,12,1.0,True,1037.4506013384612,12449.407216061534,8250.407216061536,41252.03608030767,3450.0,690,689,12,12,12,13,13,2922.0,5429.0,0.020965473999240203
deferred,10304,11,11,11,1.0,True,1127.3452643078015,12400.797907385815,8038.797907385816,40193.98953692908,3590.0,718,717,11,11,11,8,8,3840.090909090909,8459.0,0.016388199001085013
deferred,10305,12,12,12,1.0,True,1062.324361764032,12747.892341168383,8218.892341168383,41094.46170584192,3725.0,745,744,12,12,12,15,15,4538.0,8633.0,0.02961472899914952
deferred,10306,11,11,11,1.0,True,1134.651627329624,12481.167900625866,8239.167900625867,41195.83950312934,3490.0,698,697,11,11,11,10,10,2913.909090909091,6845.0,0.02193482399889035
deferred,10307,10,10,10,1.0,True,1221.6231751019961,12216.231751019961,7871.23175101996,39356.1587550998,3580.0,716,715,10,10,10,15,15,1871.6,5027.0,0.020336928002507193
deferred,10308,14,14,14,1.0,True,903.2344777428434,12645.282688399808,8772.28268839981,43861.41344199906,3170.0,634,633,14,14,14,15,15,1939.5714285714287,5519.0,0.03761555299934116
deferred,10309,12,12,12,1.0,True,1024.563981950076,12294.76778340091,8041.76778340091,40208.838917004556,3495.0,699,698,12,12,12,15,15,2844.5,7667.0,0.02340589999948861
deferred,10310,13,13,13,1.0,True,979.1532330414689,12728.992029539095,8854.992029539093,44274.96014769548,3175.0,635,634,13,13,13,10,10,1853.923076923077,5399.0,0.023158372001489624
deferred,10311,11,11,11,1.0,True,1112.9704515719259,12242.674967291185,8168.674967291186,40843.37483645593,3350.0,670,669,11,11,11,11,11,1740.6363636363637,6143.0,0.022383588999218773
deferred,10312,13,13,13,1.0,True,956.0244578425447,12428.317951953082,8182.317951953084,40911.58975976541,3485.0,697,696,13,13,13,12,12,4036.5384615384614,8621.0,0.025503573000605684
deferred,10313,13,13,13,1.0,True,896.9277844364092,11660.06119767332,8080.061197673321,40400.30598836661,2930.0,586,585,13,13,13,15,15,1665.6153846153845,5129.0,0.02142087000174797
deferred,10314,16,16,16,1.0,True,678.8840072075768,10862.144115321229,7051.144115321232,35255.720576606145,3110.0,622,621,16,16,16,12,12,3415.625,7553.0,0.03167163499892922
deferred,10315,12,12,12,1.0,True,989.9433676943326,11879.32041233199,7974.320412331991,39871.60206165996,3205.0,641,640,12,12,12,11,11,2291.5,5903.0,0.0214931680020527
deferred,10316,13,13,13,1.0,True,959.5139070452494,12473.680791588242,8293.68079158824,41468.40395794119,3430.0,686,685,13,13,13,13,13,3080.6923076923076,5951.0,0.02405525900030625
deferred,10317,13,13,13,1.0,True,978.1023113456661,12715.330047493659,8511.330047493655,42556.650237468275,3450.0,690,689,13,13,13,16,16,2675.0,7673.0,0.031466646996705094
deferred,10318,13,13,13,1.0,True,953.646662156879,12397.406608039426,8217.406608039426,41087.03304019713,3430.0,686,685,13,13,13,16,16,3243.153846153846,9023.0,0.027494633999594953
deferred,10319,16,16,16,1.0,True,629.6757386124826,10074.811817799722,6929.811817799723,34649.05908899861,2555.0,511,510,16,16,16,21,21,1931.0,5633.0,0.030738437999389134
deferred,10320,14,14,14,1.0,True,877.7203194294195,12288.084472011873,8751.08447201187,43755.42236005935,2890.0,578,577,14,14,14,13,13,1972.142857142857,6047.0,0.024513537999155233
deferred,10321,15,15,15,1.0,True,804.9646449463388,12074.469674195083,8316.469674195085,41582.348370975415,3070.0,614,613,15,15,15,14,14,2832.2,7913.0,0.025339701998746023
deferred,10322,14,14,14,1.0,True,885.3832995313068,12395.366193438294,8438.366193438293,42191.830967191476,3240.0,648,647,14,14,14,12,12,2269.5714285714284,6743.0,0.025314915998023935
deferred,10323,12,12,12,1.0,True,1134.7663731095824,13617.196477314988,9174.19647731499,45870.98238657496,3655.0,731,728,12,12,12,16,16,2133.5,9233.0,0.049141673000121955
deferred,10324,13,13,13,1.0,True,998.3327751632179,12978.326077121832,8900.32607712183,44501.63038560915,3345.0,669,668,13,13,13,13,13,2087.0,6719.0,0.023399828998662997
deferred,10325,15,15,15,1.0,True,911.3345001790802,13670.017502686203,9536.017502686203,47680.087513431004,3385.0,677,674,15,15,15,20,20,3093.0,8513.0,0.046073692003119504
deferred,10326,12,12,12,1.0,True,1068.1640600751941,12817.968720902329,8420.968720902327,42104.84360451163,3615.0,723,722,12,12,12,16,16,3273.0,7733.0,0.03565003000039724
deferred,10327,14,14,14,1.0,True,850.9215166721973,11912.901233410763,8309.901233410765,41549.50616705382,2945.0,589,588,14,14,14,14,14,2546.8571428571427,5951.0,0.025215256999217672
deferred,10328,12,12,12,1.0,True,1068.3823427619632,12820.588113143558,8760.588113143556,43802.940565717785,3335.0,667,665,12,12,12,12,12,2082.5,7751.0,0.04981587000293075
